,MAE,MAE,MAE,RMSE,RMSE,RMSE,R2,R2,R2,MaxAE,MaxAE,MaxAE,P95_AE,P95_AE,P95_AE,Bias,Bias,Bias,Correlation,Correlation,Correlation
model,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM,GRU,Hybrid_XGBoost,LSTM
target,,,,,,,,,,,,,,,,,,,,,
satclockerror,2.112830867194152,1.520887897376595,2.24942364431634,2.61597996253375,2.221394934420731,2.728494531784194,-0.7363344444112645,-0.25203395987901156,-0.8889076690132369,7.761152428999999,5.751146575000001,6.9400815289999995,4.8199367654125,4.4397075255875,5.2660465063375,0.7383465302672182,0.9933885526882708,0.7476602124777444,0.022962036397856576,-0.26354381217075634,-0.1619109066052043
x_error,2.596788668871886,2.1898630767094622,2.3710716578499316,3.261813067533047,2.7957560546793,3.0588881103011922,-0.4257048068629843,-0.047393864505928196,-0.2538300094772026,7.240942684,9.419051184,7.505929514,6.165182155699999,4.7971633392749995,5.672209593763663,-0.174773791515667,-0.37125066066303547,-0.16748055554724586,-0.39113960515183616,0.2153811623420512,-0.36848107510877487
y_error,2.261591207274755,1.8363581104369842,2.074855253044869,2.779954888878899,2.4261241292010567,2.640022491883053,-0.41241005091943883,-0.07574995507353455,-0.2737979806999853,6.741305551,7.042020538,5.635310456,5.270472323291667,4.8263998548999965,4.945874590241667,0.043181641641319074,-0.5060619359418388,-0.033494777884996677,-0.23774410815210337,0.27631751248593506,-0.3343585190679118
z_error,2.8331970699120927,2.6807443631596843,3.0429294096510398,3.6492975230506253,3.4099625335827786,3.8160806239355636,-0.19679925640524365,-0.04496556809606633,-0.30869321052064724,10.563183133688693,8.752976550748029,10.561280333688693,6.407098180524408,7.1212703966,7.08075560448125,-0.04534334496374076,-0.710235006972162,-0.04518075061426696,0.016271353269458458,0.04839237037648372,-0.04963660364104716
